model,condition_tag,mode,stale_offset,onset,stale_persistence_time_mean,cumulative_stale_FP_polyline_length,alpha_separation_summary,alpha_mean_affected,alpha_mean_clean_recent,alpha_mean_preserved_recent,ped_crossing_num_preds,divider_num_preds,boundary_num_preds,ped_crossing_num_gts,divider_num_gts,boundary_num_gts,ped_crossing_AP_0.5,divider_AP_0.5,boundary_AP_0.5,ped_crossing_AP_1.0,divider_AP_1.0,boundary_AP_1.0,ped_crossing_AP_1.5,divider_AP_1.5,boundary_AP_1.5,ped_crossing_AP,divider_AP,boundary_AP,mAP
b1,c_full_offset1_onset0,c_full,1,0,40.126666666666665,1612257.3597850846,-0.40106329942268476,0.8838677519895564,0.0,0.4828044525668716,92052,274336,283212,6922,27332,21050,0.5992,0.6073,0.5868,0.7815,0.7296,0.7687,0.8579,0.7939,0.8403,0.7462,0.7103,0.7319,0.7295
b1,c_full_offset2_onset0,c_full,2,0,40.126666666666665,1611771.2861827477,-0.2915766738462853,0.8835354709886677,0.0,0.5919587971423824,92095,274686,282759,6922,27332,21050,0.5984,0.6062,0.5882,0.7818,0.7286,0.7693,0.8593,0.7931,0.8408,0.7465,0.7093,0.7328,0.7295
b1,c_full_offset3_onset0,c_full,3,0,40.126666666666665,1611592.64094864,-0.17411530152530164,0.8330287422961938,0.0,0.6589134407708922,92295,274283,283007,6922,27332,21050,0.5978,0.6072,0.5877,0.7804,0.7293,0.7695,0.8577,0.793,0.8405,0.7453,0.7098,0.7326,0.7292
b1,c_tail_offset1_onset0,c_tail,1,0,40.126666666666665,1611415.6141375178,0.16763581991354115,0.8074430968500408,0.0,0.9750789167635819,92109,273483,284006,6922,27332,21050,0.6001,0.6088,0.5894,0.7811,0.7303,0.7695,0.8568,0.7942,0.8416,0.746,0.7111,0.7335,0.7302
b1,c_tail_offset2_onset0,c_tail,2,0,40.126666666666665,1611597.080652339,0.15152018607742146,0.8235587306861605,0.0,0.9750789167635819,92038,273516,284035,6922,27332,21050,0.6006,0.6086,0.5895,0.7819,0.7303,0.7696,0.8579,0.7942,0.8417,0.7468,0.711,0.7336,0.7305
b1,c_tail_offset3_onset0,c_tail,3,0,40.126666666666665,1611098.0899377493,0.6004319654427646,0.37464695132081743,0.0,0.9750789167635819,91948,273474,284184,6922,27332,21050,0.6006,0.6087,0.5895,0.7813,0.7302,0.7696,0.8576,0.7943,0.8415,0.7465,0.7111,0.7335,0.7304
b2,c_full_offset1_onset0,c_full,1,0,40.126666666666665,1599703.964642541,0.13745199636168892,0.33404879552253053,0.0,0.47150079188421945,57348,193428,397240,6922,27332,21050,0.6219,0.6067,0.5809,0.8138,0.7264,0.7621,0.868,0.7763,0.8202,0.7679,0.7031,0.7211,0.7307
b2,c_full_offset2_onset0,c_full,2,0,40.126666666666665,1600191.6037587507,0.38984431938127323,0.191558483789454,0.0,0.5814028031707272,57467,192824,397810,6922,27332,21050,0.6218,0.6061,0.5815,0.8136,0.7264,0.7621,0.8679,0.7759,0.8205,0.7678,0.7028,0.7214,0.7306
b2,c_full_offset3_onset0,c_full,3,0,40.126666666666665,1600379.574377353,0.5119923513831001,0.12719486184832338,0.0,0.6391872132314235,57268,193401,397405,6922,27332,21050,0.6224,0.6064,0.5821,0.8136,0.7262,0.7617,0.868,0.7759,0.8202,0.768,0.7028,0.7214,0.7307
b2,c_tail_offset1_onset0,c_tail,1,0,40.126666666666665,1600470.511663464,0.8109442940932001,0.12552495292226562,0.0,0.9364692470154657,57354,194038,396648,6922,27332,21050,0.6217,0.6065,0.581,0.8134,0.7269,0.7614,0.8677,0.7765,0.819,0.7676,0.7033,0.7205,0.7305
b2,c_tail_offset2_onset0,c_tail,2,0,40.126666666666665,1600291.6143824658,0.8575205726197545,0.07898767563082057,0.0,0.936508248250575,57345,194184,396483,6922,27332,21050,0.6223,0.6065,0.5807,0.8132,0.7267,0.7615,0.8678,0.7765,0.819,0.7678,0.7032,0.7204,0.7305
b2,c_tail_offset3_onset0,c_tail,3,0,40.126666666666665,1600516.672564245,0.9042250359782464,0.032259970254435597,0.0,0.936485006232682,57406,194047,396591,6922,27332,21050,0.6222,0.6057,0.5812,0.8135,0.7265,0.7614,0.8678,0.7761,0.8189,0.7678,0.7028,0.7205,0.7303
